route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A1,A,A-1160,Warszawa Śródmieście WKD,1160,1,12,1,1
A1,A,A-2060,Komorów,2060,1,13,1,1
A1,A,A-1064,Warszawa Śródmieście WKD,1064,1,9,1,1
A1,A,A-4022,Komorów,4022,1,11,1,1
ZA1,A,A-5162,Reguły,5162,0,14,1,2
A1,A,A-4024,Komorów,4024,1,11,1,1
ZA1,A,A-5024,Malichy,5024,1,15,1,2
A1,A,A-1162,Warszawa Śródmieście WKD,1162,1,12,1,1
A1,A,A-2062,Komorów,2062,1,13,1,1
A1,A,A-1066,Warszawa Śródmieście WKD,1066,1,9,1,1
A1,A,A-4026,Komorów,4026,1,11,1,1
ZA1,A,A-5164,Reguły,5164,0,14,1,2
A1,A,A-4028,Komorów,4028,1,11,1,1
ZA1,A,A-5028,Malichy,5028,1,15,1,2
A1,A,A-1164,Warszawa Śródmieście WKD,1164,1,12,1,1
A1,A,A-2064,Komorów,2064,1,13,1,1
A1,A,A-1068,Warszawa Śródmieście WKD,1068,1,9,1,1
A1,A,A-4030,Komorów,4030,1,11,1,1
ZA1,A,A-5166,Reguły,5166,0,14,1,2
A1,A,A-4032,Komorów,4032,1,11,1,1
ZA1,A,A-5032,Malichy,5032,1,15,1,2
A1,A,A-1166,Warszawa Śródmieście WKD,1166,1,12,1,1
A1,A,A-2066,Komorów,2066,1,13,1,1
A1,A,A-1070,Warszawa Śródmieście WKD,1070,1,9,1,1
A1,A,A-4034,Komorów,4034,1,11,1,1
ZA1,A,A-5168,Reguły,5168,0,14,1,2
A1,A,A-4036,Komorów,4036,1,11,1,1
ZA1,A,A-5036,Malichy,5036,1,15,1,2
A1,A,A-1168,Warszawa Śródmieście WKD,1168,1,12,1,1
A1,A,A-2068,Komorów,2068,1,13,1,1
A1,A,A-1072,Warszawa Śródmieście WKD,1072,1,9,1,1
A1,A,A-4038,Komorów,4038,1,11,1,1
ZA1,A,A-5170,Reguły,5170,0,14,1,2
A1,A,A-4040,Komorów,4040,1,11,1,1
ZA1,A,A-5040,Malichy,5040,1,15,1,2
A1,A,A-1170,Warszawa Śródmieście WKD,1170,1,12,1,1
A1,A,A-2070,Komorów,2070,1,13,1,1
A1,A,A-1074,Warszawa Śródmieście WKD,1074,1,9,1,1
A1,A,A-4042,Komorów,4042,1,11,1,1
ZA1,A,A-5172,Reguły,5172,0,14,1,2
A1,A,A-4044,Komorów,4044,1,11,1,1
