,100,102,5300,104,106,302,5302,108,304,5304,110,306,5306,112,308,5308,114,310,5310,116,312,5312,118,314,5314,120,316,5316,122,318,5318,124,320,5320,126,322,5322,128,324,5324,130,326,5326,132,328,5328,134,330,5330,136,332,5332,138,334,5334,140,336,5336,142,300
,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1
,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
prusz,4:27,4:57,,5:27,5:57,6:27,,6:57,7:27,,7:57,8:27,,8:57,9:27,,9:57,10:27,,10:57,11:27,,11:57,12:27,,12:57,13:27,,13:57,14:27,,14:57,15:27,,15:57,16:27,,16:57,17:27,,17:57,18:27,,18:57,19:27,,19:57,20:27,,20:57,21:27,,21:57,22:27,,22:57,23:27,,23:57,0:27
twork,4:29,4:59,,5:29,5:59,6:29,,6:59,7:29,,7:59,8:29,,8:59,9:29,,9:59,10:29,,10:59,11:29,,11:59,12:29,,12:59,13:29,,13:59,14:29,,14:59,15:29,,15:59,16:29,,16:59,17:29,,17:59,18:29,,18:59,19:29,,19:59,20:29,,20:59,21:29,,21:59,22:29,,22:59,23:29,,23:59,0:29
malic,4:31,5:01,,5:31,6:01,6:31,,7:01,7:31,,8:01,8:31,,9:01,9:31,,10:01,10:31,,11:01,11:31,,12:01,12:31,,13:01,13:31,,14:01,14:31,,15:01,15:31,,16:01,16:31,,17:01,17:31,,18:01,18:31,,19:01,19:31,,20:01,20:31,,21:01,21:31,,22:01,22:31,,23:01,23:31,,0:01,0:31
regul,4:33,5:03,,5:33,6:03,6:33,,7:03,7:33,,8:03,8:33,,9:03,9:33,,10:03,10:33,,11:03,11:33,,12:03,12:33,,13:03,13:33,,14:03,14:33,,15:03,15:33,,16:03,16:33,,17:03,17:33,,18:03,18:33,,19:03,19:33,,20:03,20:33,,21:03,21:33,,22:03,22:33,,23:03,23:33,,0:03,0:33
micha,4:35,5:05,,5:35,6:05,6:35,,7:05,7:35,,8:05,8:35,,9:05,9:35,,10:05,10:35,,11:05,11:35,,12:05,12:35,,13:05,13:35,,14:05,14:35,,15:05,15:35,,16:05,16:35,,17:05,17:35,,18:05,18:35,,19:05,19:35,,20:05,20:35,,21:05,21:35,,22:05,22:35,,23:05,23:35,,0:05,0:35
opacz,4:38,5:08,,5:38,6:08,6:38,,7:08,7:38,,8:08,8:38,,9:08,9:38,,10:08,10:38,,11:08,11:38,,12:08,12:38,,13:08,13:38,,14:08,14:38,,15:08,15:38,,16:08,16:38,,17:08,17:38,,18:08,18:38,,19:08,19:38,,20:08,20:38,,21:08,21:38,,22:08,22:38,,23:08,23:38,,0:08,0:38
wsalo,4:40,5:10,,5:40,6:10,6:40,,7:10,7:40,,8:10,8:40,,9:10,9:40,,10:10,10:40,,11:10,11:40,,12:10,12:40,,13:10,13:40,,14:10,14:40,,15:10,15:40,,16:10,16:40,,17:10,17:40,,18:10,18:40,,19:10,19:40,,20:10,20:40,,21:10,21:40,,22:10,22:40,,23:10,23:40,,0:10,0:40
wrako,4:42,5:12,,5:42,6:12,6:42,,7:12,7:42,,8:12,8:42,,9:12,9:42,,10:12,10:42,,11:12,11:42,,12:12,12:42,,13:12,13:42,,14:12,14:42,,15:12,15:42,,16:12,16:42,,17:12,17:42,,18:12,18:42,,19:12,19:42,,20:12,20:42,,21:12,21:42,,22:12,22:42,,23:12,23:42,,0:12,0:42
walje,4:46,5:16,,5:46,6:16,6:46,,7:16,7:46,,8:16,8:46,,9:16,9:46,,10:16,10:46,,11:16,11:46,,12:16,12:46,,13:16,13:46,,14:16,14:46,,15:16,15:46,,16:16,16:46,,17:16,17:46,,18:16,18:46,,19:16,19:46,,20:16,20:46,,21:16,21:46,,22:16,22:46,,23:16,23:46,,0:16,0:46
wreor,4:50,5:20,,5:50,6:20,6:50,,7:20,7:50,,8:20,8:50,,9:20,9:50,,10:20,10:50,,11:20,11:50,,12:20,12:50,,13:20,13:50,,14:20,14:50,,15:20,15:50,,16:20,16:50,,17:20,17:50,,18:20,18:50,,19:20,19:50,,20:20,20:50,,21:20,21:50,,22:20,22:50,,23:20,23:50,,0:20,0:50
wzach,4:53,5:23,,5:53,6:23,6:53,,7:23,7:53,,8:23,8:53,,9:23,9:53,,10:23,10:53,,11:23,11:53,,12:23,12:53,,13:23,13:53,,14:23,14:53,,15:23,15:53,,16:23,16:53,,17:23,17:53,,18:23,18:53,,19:23,19:53,,20:23,20:53,,21:23,21:53,,22:23,22:53,,23:23,23:53,,0:23,0:53
wocho,4:56,5:26,,5:56,6:26,6:56,,7:26,7:56,,8:26,8:56,,9:26,9:56,,10:26,10:56,,11:26,11:56,,12:26,12:56,,13:26,13:56,,14:26,14:56,,15:26,15:56,,16:26,16:56,,17:26,17:56,,18:26,18:56,,19:26,19:56,,20:26,20:56,,21:26,21:56,,22:26,22:56,,23:26,23:56,,0:26,0:56
wsrod,4:58,5:28,,5:58,6:28,6:58,,7:28,7:58,,8:28,8:58,,9:28,9:58,,10:28,10:58,,11:28,11:58,,12:28,12:58,,13:28,13:58,,14:28,14:58,,15:28,15:58,,16:28,16:58,,17:28,17:58,,18:28,18:58,,19:28,19:58,,20:28,20:58,,21:28,21:58,,22:28,22:58,,23:28,23:58,,0:28,0:58
