,303,5351,105,309,5353,313,109,317,5355,321,111,325,5357,329,115,339,5359,343,117,351,5361,355,119,363,5363,367,121,375,5365,379,123,387,5367,391,125,399,5369,3005,127,3013,5371,3019,129,3025,5373,3031,131,3037,5375,3043,133,3049,5377,3055,135,3061,5379,3067,137,3073,5381,3077,141,3083,5383,3087,147,3095,5385,151,153,3097,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
malic,5:27,,5:42,6:02,,6:22,6:42,7:02,,7:22,7:42,8:02,,8:22,8:42,9:02,,9:22,9:42,10:02,,10:22,10:42,11:02,,11:22,11:42,12:02,,12:22,12:42,13:02,,13:22,13:42,14:02,,14:22,14:42,15:02,,15:22,15:42,16:02,,16:22,16:42,17:02,,17:22,17:42,18:02,,18:22,18:42,19:02,,19:22,19:42,20:02,,20:22,20:42,21:02,,21:22,21:42,22:12,,22:42,23:04,23:27,23:58,0:20,0:42
twork,5:30,,5:45,6:05,,6:25,6:45,7:05,,7:25,7:45,8:05,,8:25,8:45,9:05,,9:25,9:45,10:05,,10:25,10:45,11:05,,11:25,11:45,12:05,,12:25,12:45,13:05,,13:25,13:45,14:05,,14:25,14:45,15:05,,15:25,15:45,16:05,,16:25,16:45,17:05,,17:25,17:45,18:05,,18:25,18:45,19:05,,19:25,19:45,20:05,,20:25,20:45,21:05,,21:25,21:45,22:15,,22:45,23:07,23:30,0:01,0:23,0:45
prusz,5:32,,5:47,6:07,,6:27,6:47,7:07,,7:27,7:47,8:07,,8:27,8:47,9:07,,9:27,9:47,10:07,,10:27,10:47,11:07,,11:27,11:47,12:07,,12:27,12:47,13:07,,13:27,13:47,14:07,,14:27,14:47,15:07,,15:27,15:47,16:07,,16:27,16:47,17:07,,17:27,17:47,18:07,,18:27,18:47,19:07,,19:27,19:47,20:07,,20:27,20:47,21:07,,21:27,21:47,22:17,,22:47,23:09,23:32,0:03,0:25,0:47
komor,5:34,,5:49,6:09,,6:29,6:49,7:09,,7:29,7:49,8:09,,8:29,8:49,9:09,,9:29,9:49,10:09,,10:29,10:49,11:09,,11:29,11:49,12:09,,12:29,12:49,13:09,,13:29,13:49,14:09,,14:29,14:49,15:09,,15:29,15:49,16:09,,16:29,16:49,17:09,,17:29,17:49,18:09,,18:29,18:49,19:09,,19:29,19:49,20:09,,20:29,20:49,21:09,,21:29,21:49,22:19,,22:49,23:11,23:34,0:05,0:27,0:49
,5:35,,5:50,6:10,,6:30,6:50,7:10,,7:30,7:50,8:10,,8:30,8:50,9:10,,9:30,9:50,10:10,,10:30,10:50,11:10,,11:30,11:50,12:10,,12:30,12:50,13:10,,13:30,13:50,14:10,,14:30,14:50,15:10,,15:30,15:50,16:10,,16:30,16:50,17:10,,17:30,17:50,18:10,,18:30,18:50,19:10,,19:30,19:50,20:10,,20:30,20:50,21:10,,21:30,21:50,22:20,,22:50,23:12,23:35,0:06,0:28,0:50
nwwar,5:37,,5:52,6:12,,6:32,6:52,7:12,,7:32,7:52,8:12,,8:32,8:52,9:12,,9:32,9:52,10:12,,10:32,10:52,11:12,,11:32,11:52,12:12,,12:32,12:52,13:12,,13:32,13:52,14:12,,14:32,14:52,15:12,,15:32,15:52,16:12,,16:32,16:52,17:12,,17:32,17:52,18:12,,18:32,18:52,19:12,,19:32,19:52,20:12,,20:32,20:52,21:12,,21:32,21:52,22:22,,22:52,23:14,23:37,0:08,0:30,0:52
kanie,5:39,,5:54,6:14,,6:34,6:54,7:14,,7:34,7:54,8:14,,8:34,8:54,9:14,,9:34,9:54,10:14,,10:34,10:54,11:14,,11:34,11:54,12:14,,12:34,12:54,13:14,,13:34,13:54,14:14,,14:34,14:54,15:14,,15:34,15:54,16:14,,16:34,16:54,17:14,,17:34,17:54,18:14,,18:34,18:54,19:14,,19:34,19:54,20:14,,20:34,20:54,21:14,,21:34,21:54,22:24,,22:54,23:16,23:39,0:10,0:32,0:54
otreb,5:41,,5:56,6:16,,6:36,6:56,7:16,,7:36,7:56,8:16,,8:36,8:56,9:16,,9:36,9:56,10:16,,10:36,10:56,11:16,,11:36,11:56,12:16,,12:36,12:56,13:16,,13:36,13:56,14:16,,14:36,14:56,15:16,,15:36,15:56,16:16,,16:36,16:56,17:16,,17:36,17:56,18:16,,18:36,18:56,19:16,,19:36,19:56,20:16,,20:36,20:56,21:16,,21:36,21:56,22:26,,22:56,23:18,23:41,0:12,0:34,0:56
plwsc,5:43,,5:58,6:18,,6:38,6:58,7:18,,7:38,7:58,8:18,,8:38,8:58,9:18,,9:38,9:58,10:18,,10:38,10:58,11:18,,11:38,11:58,12:18,,12:38,12:58,13:18,,13:38,13:58,14:18,,14:38,14:58,15:18,,15:38,15:58,16:18,,16:38,16:58,17:18,,17:38,17:58,18:18,,18:38,18:58,19:18,,19:38,19:58,20:18,,20:38,20:58,21:18,,21:38,21:58,22:28,,22:58,23:20,23:43,0:14,0:36,0:58
plglo,5:46,,6:01,6:21,,6:41,7:01,7:21,,7:41,8:01,8:21,,8:41,9:01,9:21,,9:41,10:01,10:21,,10:41,11:01,11:21,,11:41,12:01,12:21,,12:41,13:01,13:21,,13:41,14:01,14:21,,14:41,15:01,15:21,,15:41,16:01,16:21,,16:41,17:01,17:21,,17:41,18:01,18:21,,18:41,19:01,19:21,,19:41,20:01,20:21,,20:41,21:01,21:21,,21:41,22:01,22:31,,23:01,23:23,23:46,0:17,0:39,1:01
