,1000,2250,1002,2000,2252,1004,2002,1006,2004,1008,2006,1010,2008,1012,2010,1014,2012,1016,2014,1018,2016,1020,2018,1022,2020,1024,2022,1026,2024,1028,2026,1030,2028,1032,2030,1034,2032,1036,2034,1038,2036,1040,2254
,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A12
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
malic,4:33,,5:03,5:31,,6:01,6:31,7:01,7:31,8:01,8:31,9:01,9:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:31,17:01,17:31,18:01,18:31,19:01,19:31,20:01,20:31,21:01,21:31,22:01,22:31,23:06,23:36,0:11,
regul,4:35,,5:05,5:33,,6:03,6:33,7:03,7:33,8:03,8:33,9:03,9:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:33,16:03,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33,21:03,21:33,22:03,22:33,23:08,23:38,0:13,
micha,4:38,,5:08,5:36,,6:06,6:36,7:06,7:36,8:06,8:36,9:06,9:36,10:06,10:36,11:06,11:36,12:06,12:36,13:06,13:36,14:06,14:36,15:06,15:36,16:06,16:36,17:06,17:36,18:06,18:36,19:06,19:36,20:06,20:36,21:06,21:36,22:06,22:36,23:11,23:41,0:16,
opacz,4:40,,5:10,5:38,,6:08,6:38,7:08,7:38,8:08,8:38,9:08,9:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:08,21:38,22:08,22:38,23:13,23:43,0:18,
wsalo,4:42,,5:12,5:40,,6:10,6:40,7:10,7:40,8:10,8:40,9:10,9:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:10,21:40,22:10,22:40,23:15,23:45,0:20,
wrako,4:44,,5:14,5:42,,6:12,6:42,7:12,7:42,8:12,8:42,9:12,9:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:12,14:42,15:12,15:42,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:17,23:47,0:22,
walje,4:47,,5:17,5:45,,6:15,6:45,7:15,7:45,8:15,8:45,9:15,9:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:20,23:50,0:25,
wreor,4:50,,5:20,5:48,,6:18,6:48,7:18,7:48,8:18,8:48,9:18,9:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:23,23:53,0:28,
wzach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wsrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
