,301,5301,107,303,305,5303,109,307,309,5305,111,311,313,5307,3113,5101,315,317,5309,3115,5103,319,321,5311,3117,5105,323,325,5313,3119,5107,327,329,5315,3121,5109,331,333,5317,3123,5111,335,337,5319,125,339,341,5321,127,343,345,5323,129,347,349,5325,131,351,353,5327,133,355,357,5329,135,359,361,5331,137,363,139,101,103,105
,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
malic,4:42,,5:06,5:36,6:00,,6:24,6:48,7:12,,7:36,8:00,8:24,,8:48,,9:12,9:36,,10:00,,10:24,10:48,,11:12,,11:36,12:00,,12:24,,12:48,13:12,,13:36,,14:00,14:24,,14:48,,15:12,15:36,,16:00,16:24,16:48,,17:12,17:36,18:00,,18:24,18:48,19:12,,19:36,20:00,20:24,,20:48,21:12,21:36,,22:00,22:24,22:48,,23:12,23:36,0:00,0:24,0:48,1:12
twork,4:45,,5:09,5:39,6:03,,6:27,6:51,7:15,,7:39,8:03,8:27,,8:51,,9:15,9:39,,10:03,,10:27,10:51,,11:15,,11:39,12:03,,12:27,,12:51,13:15,,13:39,,14:03,14:27,,14:51,,15:15,15:39,,16:03,16:27,16:51,,17:15,17:39,18:03,,18:27,18:51,19:15,,19:39,20:03,20:27,,20:51,21:15,21:39,,22:03,22:27,22:51,,23:15,23:39,0:03,0:27,0:51,1:15
prusz,4:47,,5:11,5:41,6:05,,6:29,6:53,7:17,,7:41,8:05,8:29,,8:53,,9:17,9:41,,10:05,,10:29,10:53,,11:17,,11:41,12:05,,12:29,,12:53,13:17,,13:41,,14:05,14:29,,14:53,,15:17,15:41,,16:05,16:29,16:53,,17:17,17:41,18:05,,18:29,18:53,19:17,,19:41,20:05,20:29,,20:53,21:17,21:41,,22:05,22:29,22:53,,23:17,23:41,0:05,0:29,0:53,1:17
komor,4:49,,5:13,5:43,6:07,,6:31,6:55,7:19,,7:43,8:07,8:31,,8:55,,9:19,9:43,,10:07,,10:31,10:55,,11:19,,11:43,12:07,,12:31,,12:55,13:19,,13:43,,14:07,14:31,,14:55,,15:19,15:43,,16:07,16:31,16:55,,17:19,17:43,18:07,,18:31,18:55,19:19,,19:43,20:07,20:31,,20:55,21:19,21:43,,22:07,22:31,22:55,,23:19,23:43,0:07,0:31,0:55,1:19
,4:50,,5:14,5:44,6:08,,6:32,6:56,7:20,,7:44,8:08,8:32,,8:56,,9:20,9:44,,10:08,,10:32,10:56,,11:20,,11:44,12:08,,12:32,,12:56,13:20,,13:44,,14:08,14:32,,14:56,,15:20,15:44,,16:08,16:32,16:56,,17:20,17:44,18:08,,18:32,18:56,19:20,,19:44,20:08,20:32,,20:56,21:20,21:44,,22:08,22:32,22:56,,23:20,23:44,0:08,0:32,0:56,1:20
nwwar,4:52,,5:16,5:46,6:10,,6:34,6:58,7:22,,7:46,8:10,8:34,,8:58,,9:22,9:46,,10:10,,10:34,10:58,,11:22,,11:46,12:10,,12:34,,12:58,13:22,,13:46,,14:10,14:34,,14:58,,15:22,15:46,,16:10,16:34,16:58,,17:22,17:46,18:10,,18:34,18:58,19:22,,19:46,20:10,20:34,,20:58,21:22,21:46,,22:10,22:34,22:58,,23:22,23:46,0:10,0:34,0:58,1:22
kanie,4:54,,5:18,5:48,6:12,,6:36,7:00,7:24,,7:48,8:12,8:36,,9:00,,9:24,9:48,,10:12,,10:36,11:00,,11:24,,11:48,12:12,,12:36,,13:00,13:24,,13:48,,14:12,14:36,,15:00,,15:24,15:48,,16:12,16:36,17:00,,17:24,17:48,18:12,,18:36,19:00,19:24,,19:48,20:12,20:36,,21:00,21:24,21:48,,22:12,22:36,23:00,,23:24,23:48,0:12,0:36,1:00,1:24
otreb,4:56,,5:20,5:50,6:14,,6:38,7:02,7:26,,7:50,8:14,8:38,,9:02,,9:26,9:50,,10:14,,10:38,11:02,,11:26,,11:50,12:14,,12:38,,13:02,13:26,,13:50,,14:14,14:38,,15:02,,15:26,15:50,,16:14,16:38,17:02,,17:26,17:50,18:14,,18:38,19:02,19:26,,19:50,20:14,20:38,,21:02,21:26,21:50,,22:14,22:38,23:02,,23:26,23:50,0:14,0:38,1:02,1:26
plwsc,4:58,,5:22,5:52,6:16,,6:40,7:04,7:28,,7:52,8:16,8:40,,9:04,,9:28,9:52,,10:16,,10:40,11:04,,11:28,,11:52,12:16,,12:40,,13:04,13:28,,13:52,,14:16,14:40,,15:04,,15:28,15:52,,16:16,16:40,17:04,,17:28,17:52,18:16,,18:40,19:04,19:28,,19:52,20:16,20:40,,21:04,21:28,21:52,,22:16,22:40,23:04,,23:28,23:52,0:16,0:40,1:04,1:28
plglo,5:01,,5:25,5:55,6:19,,6:43,7:07,7:31,,7:55,8:19,8:43,,9:07,,9:31,9:55,,10:19,,10:43,11:07,,11:31,,11:55,12:19,,12:43,,13:07,13:31,,13:55,,14:19,14:43,,15:07,,15:31,15:55,,16:19,16:43,17:07,,17:31,17:55,18:19,,18:43,19:07,19:31,,19:55,20:19,20:43,,21:07,21:31,21:55,,22:19,22:43,23:07,,23:31,23:55,0:19,0:43,1:07,1:31
