,301,5301,103,305,5303,307,309,311,5305,107,315,317,5307,319,323,113,325,5309,327,331,333,159,337,341,5311,345,117,349,353,5313,357,119,361,365,5315,369,121,373,377,5317,381,123,385,389,5319,393,125,397,3001,3099,5321,3007,127,3011,3015,3017,5323,3021,129,3023,3027,5325,3029,3033,131,3035,3039,5327,3041,3045,133,3047,3051,5329,3053,3057,135,3059,3063,5331,3065,3069,137,3071,139,3075,5333,3079,3081,143,3085,145,3089,3091,5335,3093,149,151,153,3097,5337,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
micha,4:48,,5:08,5:28,,5:43,5:58,6:13,,6:28,6:43,6:58,,7:16,7:34,7:46,7:58,,8:13,8:24,8:35,8:46,8:57,9:08,,9:23,9:38,9:53,10:08,,10:23,10:38,10:53,11:08,,11:23,11:38,11:53,12:08,,12:23,12:38,12:53,13:08,,13:23,13:38,13:50,14:02,14:12,,14:26,14:38,14:50,15:02,15:14,,15:26,15:38,15:50,16:02,,16:14,16:26,16:38,16:50,17:02,,17:14,17:26,17:38,17:50,18:02,,18:14,18:26,18:38,18:50,19:02,,19:14,19:26,19:38,19:50,20:02,20:14,,20:26,20:38,20:58,21:08,21:20,21:34,21:48,,22:03,22:16,22:38,23:00,23:23,,23:54,0:16,0:38
regul,4:50,,5:10,5:30,,5:45,6:00,6:15,,6:30,6:45,7:00,,7:18,7:36,7:48,8:00,,8:15,8:26,8:37,8:48,8:59,9:10,,9:25,9:40,9:55,10:10,,10:25,10:40,10:55,11:10,,11:25,11:40,11:55,12:10,,12:25,12:40,12:55,13:10,,13:25,13:40,13:52,14:04,14:14,,14:28,14:40,14:52,15:04,15:16,,15:28,15:40,15:52,16:04,,16:16,16:28,16:40,16:52,17:04,,17:16,17:28,17:40,17:52,18:04,,18:16,18:28,18:40,18:52,19:04,,19:16,19:28,19:40,19:52,20:04,20:16,,20:28,20:40,21:00,21:10,21:22,21:36,21:50,,22:05,22:18,22:40,23:02,23:25,,23:56,0:18,0:40
malic,4:52,,5:12,5:32,,5:47,6:02,6:17,,6:32,6:47,7:02,,7:20,7:38,7:50,8:02,,8:17,8:28,8:39,8:50,9:01,9:12,,9:27,9:42,9:57,10:12,,10:27,10:42,10:57,11:12,,11:27,11:42,11:57,12:12,,12:27,12:42,12:57,13:12,,13:27,13:42,13:54,14:06,14:16,,14:30,14:42,14:54,15:06,15:18,,15:30,15:42,15:54,16:06,,16:18,16:30,16:42,16:54,17:06,,17:18,17:30,17:42,17:54,18:06,,18:18,18:30,18:42,18:54,19:06,,19:18,19:30,19:42,19:54,20:06,20:18,,20:30,20:42,21:02,21:12,21:24,21:38,21:52,,22:07,22:20,22:42,23:04,23:27,,23:58,0:20,0:42
twork,4:55,,5:15,5:35,,5:50,6:05,6:20,,6:35,6:50,7:05,,7:23,7:41,7:53,8:05,,8:20,8:31,8:42,8:53,9:04,9:15,,9:30,9:45,10:00,10:15,,10:30,10:45,11:00,11:15,,11:30,11:45,12:00,12:15,,12:30,12:45,13:00,13:15,,13:30,13:45,13:57,14:09,14:19,,14:33,14:45,14:57,15:09,15:21,,15:33,15:45,15:57,16:09,,16:21,16:33,16:45,16:57,17:09,,17:21,17:33,17:45,17:57,18:09,,18:21,18:33,18:45,18:57,19:09,,19:21,19:33,19:45,19:57,20:09,20:21,,20:33,20:45,21:05,21:15,21:27,21:41,21:55,,22:10,22:23,22:45,23:07,23:30,,0:01,0:23,0:45
prusz,4:57,,5:17,5:37,,5:52,6:07,6:22,,6:37,6:52,7:07,,7:25,7:43,7:55,8:07,,8:22,8:33,8:44,8:55,9:06,9:17,,9:32,9:47,10:02,10:17,,10:32,10:47,11:02,11:17,,11:32,11:47,12:02,12:17,,12:32,12:47,13:02,13:17,,13:32,13:47,13:59,14:11,14:21,,14:35,14:47,14:59,15:11,15:23,,15:35,15:47,15:59,16:11,,16:23,16:35,16:47,16:59,17:11,,17:23,17:35,17:47,17:59,18:11,,18:23,18:35,18:47,18:59,19:11,,19:23,19:35,19:47,19:59,20:11,20:23,,20:35,20:47,21:07,21:17,21:29,21:43,21:57,,22:12,22:25,22:47,23:09,23:32,,0:03,0:25,0:47
komor,4:59,,5:19,5:39,,5:54,6:09,6:24,,6:39,6:54,7:09,,7:27,7:45,7:57,8:09,,8:24,8:35,8:46,8:57,9:08,9:19,,9:34,9:49,10:04,10:19,,10:34,10:49,11:04,11:19,,11:34,11:49,12:04,12:19,,12:34,12:49,13:04,13:19,,13:34,13:49,14:01,14:13,14:23,,14:37,14:49,15:01,15:13,15:25,,15:37,15:49,16:01,16:13,,16:25,16:37,16:49,17:01,17:13,,17:25,17:37,17:49,18:01,18:13,,18:25,18:37,18:49,19:01,19:13,,19:25,19:37,19:49,20:01,20:13,20:25,,20:37,20:49,21:09,21:19,21:31,21:45,21:59,,22:14,22:27,22:49,23:11,23:34,,0:05,0:27,0:49
,5:00,,5:20,5:40,,5:55,6:10,6:25,,6:40,6:55,7:10,,7:28,7:46,7:58,8:10,,8:25,8:36,8:47,8:58,9:09,9:20,,9:35,9:50,10:05,10:20,,10:35,10:50,11:05,11:20,,11:35,11:50,12:05,12:20,,12:35,12:50,13:05,13:20,,13:35,13:50,14:02,14:14,14:24,,14:38,14:50,15:02,15:14,15:26,,15:38,15:50,16:02,16:14,,16:26,16:38,16:50,17:02,17:14,,17:26,17:38,17:50,18:02,18:14,,18:26,18:38,18:50,19:02,19:14,,19:26,19:38,19:50,20:02,20:14,20:26,,20:38,20:50,21:10,21:20,21:32,21:46,22:00,,22:15,22:28,22:50,23:12,23:35,,0:06,0:28,0:50
nwwar,5:02,,5:22,5:42,,5:57,6:12,6:27,,6:42,6:57,7:12,,7:30,7:48,8:00,8:12,,8:27,8:38,8:49,9:00,9:11,9:22,,9:37,9:52,10:07,10:22,,10:37,10:52,11:07,11:22,,11:37,11:52,12:07,12:22,,12:37,12:52,13:07,13:22,,13:37,13:52,14:04,14:16,14:26,,14:40,14:52,15:04,15:16,15:28,,15:40,15:52,16:04,16:16,,16:28,16:40,16:52,17:04,17:16,,17:28,17:40,17:52,18:04,18:16,,18:28,18:40,18:52,19:04,19:16,,19:28,19:40,19:52,20:04,20:16,20:28,,20:40,20:52,21:12,21:22,21:34,21:48,22:02,,22:17,22:30,22:52,23:14,23:37,,0:08,0:30,0:52
kanie,5:04,,5:24,5:44,,5:59,6:14,6:29,,6:44,6:59,7:14,,7:32,7:50,8:02,8:14,,8:29,8:40,8:51,9:02,9:13,9:24,,9:39,9:54,10:09,10:24,,10:39,10:54,11:09,11:24,,11:39,11:54,12:09,12:24,,12:39,12:54,13:09,13:24,,13:39,13:54,14:06,14:18,14:28,,14:42,14:54,15:06,15:18,15:30,,15:42,15:54,16:06,16:18,,16:30,16:42,16:54,17:06,17:18,,17:30,17:42,17:54,18:06,18:18,,18:30,18:42,18:54,19:06,19:18,,19:30,19:42,19:54,20:06,20:18,20:30,,20:42,20:54,21:14,21:24,21:36,21:50,22:04,,22:19,22:32,22:54,23:16,23:39,,0:10,0:32,0:54
otreb,5:06,,5:26,5:46,,6:01,6:16,6:31,,6:46,7:01,7:16,,7:34,7:52,8:04,8:16,,8:31,8:42,8:53,9:04,9:15,9:26,,9:41,9:56,10:11,10:26,,10:41,10:56,11:11,11:26,,11:41,11:56,12:11,12:26,,12:41,12:56,13:11,13:26,,13:41,13:56,14:08,14:20,14:30,,14:44,14:56,15:08,15:20,15:32,,15:44,15:56,16:08,16:20,,16:32,16:44,16:56,17:08,17:20,,17:32,17:44,17:56,18:08,18:20,,18:32,18:44,18:56,19:08,19:20,,19:32,19:44,19:56,20:08,20:20,20:32,,20:44,20:56,21:16,21:26,21:38,21:52,22:06,,22:21,22:34,22:56,23:18,23:41,,0:12,0:34,0:56
