,155,5351,361,5353,157,363,5355,159,5357,365,161,367,5359,163,369,5361,165,371,5363,167,373,5365,169,375,5367,171,377,5369,173,379,5371,175,381,5373,177,383,5375,179,385,5377,181,387,5379,183,389,5381,185,391,5383,187,393,5385,189,395,5387,191,397,151,153
,A1,ZA12,A1,ZA12,A1,A1,ZA12,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
kanie,5:42,,6:12,,6:42,7:12,,7:42,,8:12,8:42,9:12,,9:42,10:12,,10:42,11:12,,11:42,12:12,,12:42,13:12,,13:42,14:12,,14:42,15:12,,15:42,16:12,,16:42,17:12,,17:42,18:12,,18:42,19:12,,19:42,20:12,,20:42,21:12,,21:42,22:12,,22:42,23:12,,23:42,0:12,0:42,1:12
otreb,5:44,,6:14,,6:44,7:14,,7:44,,8:14,8:44,9:14,,9:44,10:14,,10:44,11:14,,11:44,12:14,,12:44,13:14,,13:44,14:14,,14:44,15:14,,15:44,16:14,,16:44,17:14,,17:44,18:14,,18:44,19:14,,19:44,20:14,,20:44,21:14,,21:44,22:14,,22:44,23:14,,23:44,0:14,0:44,1:14
plwsc,5:46,,6:16,,6:46,7:16,,7:46,,8:16,8:46,9:16,,9:46,10:16,,10:46,11:16,,11:46,12:16,,12:46,13:16,,13:46,14:16,,14:46,15:16,,15:46,16:16,,16:46,17:16,,17:46,18:16,,18:46,19:16,,19:46,20:16,,20:46,21:16,,21:46,22:16,,22:46,23:16,,23:46,0:16,0:46,1:16
plglo,5:48,,6:18,,6:48,7:18,,7:48,,8:18,8:48,9:18,,9:48,10:18,,10:48,11:18,,11:48,12:18,,12:48,13:18,,13:48,14:18,,14:48,15:18,,15:48,16:18,,16:48,17:18,,17:48,18:18,,18:48,19:18,,19:48,20:18,,20:48,21:18,,21:48,22:18,,22:48,23:18,,23:48,0:18,0:48,1:18
,5:50,5:51,,6:23,6:50,,7:23,7:50,8:23,,08:50:00,,9:23,09:50:00,,10:23,10:50:00,,11:23,11:50:00,,12:23,12:50:00,,13:23,13:50:00,,14:23,14:50:00,,15:23,15:50:00,,16:23,16:50:00,,17:23,17:50:00,,18:23,18:50:00,,19:23,19:50:00,,20:23,20:50:00,,21:23,21:50:00,,22:23,22:50:00,,23:23,23:50:00,,0:50,1:20
plzac,5:52,,,,6:52,,,7:52,,,8:52,,,9:52,,,10:52,,,11:52,,,12:52,,,13:52,,,14:52,,,15:52,,,16:52,,,17:52,,,18:52,,,19:52,,,20:52,,,21:52,,,22:52,,,23:52,,0:52,1:22
poles,,5:56,,6:28,,,7:28,,8:28,,,,9:28,,,10:28,,,11:28,,,12:28,,,13:28,,,14:28,,,15:28,,,16:28,,,17:28,,,18:28,,,19:28,,,20:28,,,21:28,,,22:28,,,23:28,,,,
milgr,,5:58,,6:30,,,7:30,,8:30,,,,9:30,,,10:30,,,11:30,,,12:30,,,13:30,,,14:30,,,15:30,,,16:30,,,17:30,,,18:30,,,19:30,,,20:30,,,21:30,,,22:30,,,23:30,,,,
kazim,5:55,,,,6:55,,,7:55,,,8:55,,,9:55,,,10:55,,,11:55,,,12:55,,,13:55,,,14:55,,,15:55,,,16:55,,,17:55,,,18:55,,,19:55,,,20:55,,,21:55,,,22:55,,,23:55,,0:55,1:25
brzoz,5:58,,,,6:58,,,7:58,,,8:58,,,9:58,,,10:58,,,11:58,,,12:58,,,13:58,,,14:58,,,15:58,,,16:58,,,17:58,,,18:58,,,19:58,,,20:58,,,21:58,,,22:58,,,23:58,,0:58,1:28
gmokr,6:01,,,,7:01,,,8:01,,,9:01,,,10:01,,,11:01,,,12:01,,,13:01,,,14:01,,,15:01,,,16:01,,,17:01,,,18:01,,,19:01,,,20:01,,,21:01,,,22:01,,,23:01,,,0:01,,1:01,1:31
gmpia,6:03,,,,7:03,,,8:03,,,9:03,,,10:03,,,11:03,,,12:03,,,13:03,,,14:03,,,15:03,,,16:03,,,17:03,,,18:03,,,19:03,,,20:03,,,21:03,,,22:03,,,23:03,,,0:03,,1:03,1:33
gmjor,6:05,,,,7:05,,,8:05,,,9:05,,,10:05,,,11:05,,,12:05,,,13:05,,,14:05,,,15:05,,,16:05,,,17:05,,,18:05,,,19:05,,,20:05,,,21:05,,,22:05,,,23:05,,,0:05,,1:05,1:35
gmrad,6:08,,,,7:08,,,8:08,,,9:08,,,10:08,,,11:08,,,12:08,,,13:08,,,14:08,,,15:08,,,16:08,,,17:08,,,18:08,,,19:08,,,20:08,,,21:08,,,22:08,,,23:08,,,0:08,,1:08,1:38
