,100,102,5300,104,106,300,302,5302,108,110,304,5304,306,112,308,5306,310,114,312,5308,116,314,5310,118,316,5312,120,318,5314,122,320,5316,124,322,324,5318,126,326,328,5320,128,330,332,5322,130,334,336,5324,132,338,340,5326,134,342,5328,136,344,5330,138,346,5332,140,348,5334,142,350,5336,352,144
,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
gmrad,3:35,4:05,,4:35,5:00,,,,5:58,6:20,,,,7:20,,,,8:20,,,9:20,,,10:20,,,11:20,,,12:20,,,13:20,,,,14:20,,,,15:20,,,,16:20,,,,17:20,,,,18:20,,,19:20,,,20:20,,,21:20,,,22:20,,,,23:25
gmjor,3:38,4:08,,4:38,5:03,,,,6:01,6:23,,,,7:23,,,,8:23,,,9:23,,,10:23,,,11:23,,,12:23,,,13:23,,,,14:23,,,,15:23,,,,16:23,,,,17:23,,,,18:23,,,19:23,,,20:23,,,21:23,,,22:23,,,,23:28
gmpia,3:40,4:10,,4:40,5:05,,,,6:03,6:25,,,,7:25,,,,8:25,,,9:25,,,10:25,,,11:25,,,12:25,,,13:25,,,,14:25,,,,15:25,,,,16:25,,,,17:25,,,,18:25,,,19:25,,,20:25,,,21:25,,,22:25,,,,23:30
gmokr,3:42,4:12,,4:42,5:07,,,,6:05,6:27,,,,7:27,,,,8:27,,,9:27,,,10:27,,,11:27,,,12:27,,,13:27,,,,14:27,,,,15:27,,,,16:27,,,,17:27,,,,18:27,,,19:27,,,20:27,,,21:27,,,22:27,,,,23:32
brzoz,3:44,4:14,,4:44,5:09,,,,6:07,6:29,,,,7:29,,,,8:29,,,9:29,,,10:29,,,11:29,,,12:29,,,13:29,,,,14:29,,,,15:29,,,,16:29,,,,17:29,,,,18:29,,,19:29,,,20:29,,,21:29,,,22:29,,,,23:34
kazim,3:47,4:17,,4:47,5:12,,,,6:10,6:32,,,,7:32,,,,8:32,,,9:32,,,10:32,,,11:32,,,12:32,,,13:32,,,,14:32,,,,15:32,,,,16:32,,,,17:32,,,,18:32,,,19:32,,,20:32,,,21:32,,,22:32,,,,23:37
milgr,,,4:43,,,,,5:48,,,,6:48,,,,7:48,,,,8:58,,,9:58,,,10:58,,,11:58,,,12:58,,,,14:08,,,,15:08,,,,16:08,,,,17:08,,,,18:08,,,18:58,,,19:58,,,20:58,,,21:58,,,22:53,,
poles,,,4:45,,,,,5:50,,,,6:50,,,,7:50,,,,9:00,,,10:00,,,11:00,,,12:00,,,13:00,,,,14:10,,,,15:10,,,,16:10,,,,17:10,,,,18:10,,,19:00,,,20:00,,,21:00,,,22:00,,,22:55,,
plzac,3:50,4:20,,4:50,5:15,,,,6:13,6:35,,,,7:35,,,,8:35,,,9:35,,,10:35,,,11:35,,,12:35,,,13:35,,,,14:35,,,,15:35,,,,16:35,,,,17:35,,,,18:35,,,19:35,,,20:35,,,21:35,,,22:35,,,,23:40
plglo,3:56,4:26,4:50,4:56,5:21,,,5:55,6:19,6:41,,6:55,,7:41,,7:55,,8:41,,9:05,9:41,,10:05,10:41,,11:05,11:41,,12:05,12:41,,13:05,13:41,,,14:15,14:41,,,15:15,15:41,,,16:15,16:41,,,17:15,17:41,,,18:15,18:41,,19:05,19:41,,20:05,20:41,,21:05,21:41,,22:05,22:41,,23:00,,23:46
,3:56,4:26,,4:56,5:21,5:41,6:01,,6:21,6:41,7:01,,7:21,7:41,8:01,,8:21,8:41,9:11,,9:41,10:11,,10:41,11:11,,11:41,12:11,,12:41,13:11,,13:41,14:01,14:21,,14:41,15:01,15:21,,15:41,16:01,16:21,,16:41,17:01,17:21,,17:41,18:01,18:21,,18:41,19:11,,19:41,20:11,,20:41,21:11,,21:41,22:11,,22:41,23:06,,23:26,23:46
plwsc,3:58,4:28,,4:58,5:23,5:43,6:03,,6:23,6:43,7:03,,7:23,7:43,8:03,,8:23,8:43,9:13,,9:43,10:13,,10:43,11:13,,11:43,12:13,,12:43,13:13,,13:43,14:03,14:23,,14:43,15:03,15:23,,15:43,16:03,16:23,,16:43,17:03,17:23,,17:43,18:03,18:23,,18:43,19:13,,19:43,20:13,,20:43,21:13,,21:43,22:13,,22:43,23:08,,23:28,23:48
otreb,4:00,4:30,,5:00,5:25,5:45,6:05,,6:25,6:45,7:05,,7:25,7:45,8:05,,8:25,8:45,9:15,,9:45,10:15,,10:45,11:15,,11:45,12:15,,12:45,13:15,,13:45,14:05,14:25,,14:45,15:05,15:25,,15:45,16:05,16:25,,16:45,17:05,17:25,,17:45,18:05,18:25,,18:45,19:15,,19:45,20:15,,20:45,21:15,,21:45,22:15,,22:45,23:10,,23:30,23:50
kanie,4:02,4:32,,5:02,5:27,5:47,6:07,,6:27,6:47,7:07,,7:27,7:47,8:07,,8:27,8:47,9:17,,9:47,10:17,,10:47,11:17,,11:47,12:17,,12:47,13:17,,13:47,14:07,14:27,,14:47,15:07,15:27,,15:47,16:07,16:27,,16:47,17:07,17:27,,17:47,18:07,18:27,,18:47,19:17,,19:47,20:17,,20:47,21:17,,21:47,22:17,,22:47,23:12,,23:32,23:52
nwwar,4:04,4:34,,5:04,5:29,5:49,6:09,,6:29,6:49,7:09,,7:29,7:49,8:09,,8:29,8:49,9:19,,9:49,10:19,,10:49,11:19,,11:49,12:19,,12:49,13:19,,13:49,14:09,14:29,,14:49,15:09,15:29,,15:49,16:09,16:29,,16:49,17:09,17:29,,17:49,18:09,18:29,,18:49,19:19,,19:49,20:19,,20:49,21:19,,21:49,22:19,,22:49,23:14,,23:34,23:54
komor,4:07,4:37,,5:07,5:32,5:52,6:12,,6:32,6:52,7:12,,7:32,7:52,8:12,,8:32,8:52,9:22,,9:52,10:22,,10:52,11:22,,11:52,12:22,,12:52,13:22,,13:52,14:12,14:32,,14:52,15:12,15:32,,15:52,16:12,16:32,,16:52,17:12,17:32,,17:52,18:12,18:32,,18:52,19:22,,19:52,20:22,,20:52,21:22,,21:52,22:22,,22:52,23:17,,23:37,23:57
,4:09,4:39,,5:09,5:34,5:54,6:14,,6:34,6:54,7:14,,7:34,7:54,8:14,,8:34,8:54,9:24,,9:54,10:24,,10:54,11:24,,11:54,12:24,,12:54,13:24,,13:54,14:14,14:34,,14:54,15:14,15:34,,15:54,16:14,16:34,,16:54,17:14,17:34,,17:54,18:14,18:34,,18:54,19:24,,19:54,20:24,,20:54,21:24,,21:54,22:24,,22:54,23:19,,23:39,23:59
prusz,4:11,4:41,,5:11,5:36,5:56,6:16,,6:36,6:56,7:16,,7:36,7:56,8:16,,8:36,8:56,9:26,,9:56,10:26,,10:56,11:26,,11:56,12:26,,12:56,13:26,,13:56,14:16,14:36,,14:56,15:16,15:36,,15:56,16:16,16:36,,16:56,17:16,17:36,,17:56,18:16,18:36,,18:56,19:26,,19:56,20:26,,20:56,21:26,,21:56,22:26,,22:56,23:21,,23:41,0:01
twork,4:13,4:43,,5:13,5:38,5:58,6:18,,6:38,6:58,7:18,,7:38,7:58,8:18,,8:38,8:58,9:28,,9:58,10:28,,10:58,11:28,,11:58,12:28,,12:58,13:28,,13:58,14:18,14:38,,14:58,15:18,15:38,,15:58,16:18,16:38,,16:58,17:18,17:38,,17:58,18:18,18:38,,18:58,19:28,,19:58,20:28,,20:58,21:28,,21:58,22:28,,22:58,23:23,,23:43,0:03
malic,4:15,4:45,,5:15,5:40,6:00,6:20,,6:40,7:00,7:20,,7:40,8:00,8:20,,8:40,9:00,9:30,,10:00,10:30,,11:00,11:30,,12:00,12:30,,13:00,13:30,,14:00,14:20,14:40,,15:00,15:20,15:40,,16:00,16:20,16:40,,17:00,17:20,17:40,,18:00,18:20,18:40,,19:00,19:30,,20:00,20:30,,21:00,21:30,,22:00,22:30,,23:00,23:25,,23:45,0:05
regul,4:17,4:47,,5:17,5:42,6:02,6:22,,6:42,7:02,7:22,,7:42,8:02,8:22,,8:42,9:02,9:32,,10:02,10:32,,11:02,11:32,,12:02,12:32,,13:02,13:32,,14:02,14:22,14:42,,15:02,15:22,15:42,,16:02,16:22,16:42,,17:02,17:22,17:42,,18:02,18:22,18:42,,19:02,19:32,,20:02,20:32,,21:02,21:32,,22:02,22:32,,23:02,23:27,,23:47,0:07
micha,4:21,4:51,,5:21,5:46,6:06,6:26,,6:46,7:06,7:26,,7:46,8:06,8:26,,8:46,9:06,9:36,,10:06,10:36,,11:06,11:36,,12:06,12:36,,13:06,13:36,,14:06,14:26,14:46,,15:06,15:26,15:46,,16:06,16:26,16:46,,17:06,17:26,17:46,,18:06,18:26,18:46,,19:06,19:36,,20:06,20:36,,21:06,21:36,,22:06,22:36,,23:06,23:31,,23:51,0:11
opacz,4:24,4:54,,5:24,5:49,6:09,6:29,,6:49,7:09,7:29,,7:49,8:09,8:29,,8:49,9:09,9:39,,10:09,10:39,,11:09,11:39,,12:09,12:39,,13:09,13:39,,14:09,14:29,14:49,,15:09,15:29,15:49,,16:09,16:29,16:49,,17:09,17:29,17:49,,18:09,18:29,18:49,,19:09,19:39,,20:09,20:39,,21:09,21:39,,22:09,22:39,,23:09,23:34,,23:54,0:14
wsalo,4:26,4:56,,5:26,5:51,6:11,6:31,,6:51,7:11,7:31,,7:51,8:11,8:31,,8:51,9:11,9:41,,10:11,10:41,,11:11,11:41,,12:11,12:41,,13:11,13:41,,14:11,14:31,14:51,,15:11,15:31,15:51,,16:11,16:31,16:51,,17:11,17:31,17:51,,18:11,18:31,18:51,,19:11,19:41,,20:11,20:41,,21:11,21:41,,22:11,22:41,,23:11,23:36,,23:56,0:16
wrako,4:28,4:58,,5:28,5:53,6:13,6:33,,6:53,7:13,7:33,,7:53,8:13,8:33,,8:53,9:13,9:43,,10:13,10:43,,11:13,11:43,,12:13,12:43,,13:13,13:43,,14:13,14:33,14:53,,15:13,15:33,15:53,,16:13,16:33,16:53,,17:13,17:33,17:53,,18:13,18:33,18:53,,19:13,19:43,,20:13,20:43,,21:13,21:43,,22:13,22:43,,23:13,23:38,,23:58,0:18
