,104,106,5350,108,110,304,306,5352,116,312,5354,318,120,322,5356,328,124,334,5358,340,128,348,5360,352,130,360,5362,364,132,372,5364,376,134,384,5366,388,136,396,5368,3002,138,3010,5370,3016,140,3024,5372,3030,142,3036,5374,3042,144,3048,5376,3054,146,3060,5378,3066,148,3070,5380,3074,150,3080,5382,3082,154,3090,5384,158,3094,3098,160
plzac,4:37,4:59,,5:21,5:51,,,,6:51,,,,7:51,,,,8:51,,,,9:51,,,,10:51,,,,11:51,,,,12:51,,,,13:51,,,,14:51,,,,15:51,,,,16:51,,,,17:51,,,,18:51,,,,19:51,,,,20:51,,,,21:51,,,22:51,,,0:10
plglo,4:43,5:05,5:19,5:27,5:57,,,6:24,6:57,,7:09,,7:57,,8:09,,8:57,,9:09,,9:57,,10:09,,10:57,,11:09,,11:57,,12:09,,12:57,,13:09,,13:57,,14:09,,14:57,,15:09,,15:57,,16:09,,16:57,,17:09,,17:57,,18:09,,18:57,,19:09,,19:57,,20:09,,20:57,,21:09,,21:57,,22:19,22:57,,,0:16
,4:43,5:05,,5:27,5:57,6:17,6:37,,6:57,7:17,,7:37,7:57,8:17,,8:37,8:57,9:17,,9:37,9:57,10:17,,10:37,10:57,11:17,,11:37,11:57,12:17,,12:37,12:57,13:17,,13:37,13:57,14:17,,14:37,14:57,15:17,,15:37,15:57,16:17,,16:37,16:57,17:17,,17:37,17:57,18:17,,18:37,18:57,19:17,,19:37,19:57,20:17,,20:37,20:57,21:17,,21:37,21:57,22:27,,22:57,23:27,24:00,0:16
plwsc,4:45,5:07,,5:29,5:59,6:19,6:39,,6:59,7:19,,7:39,7:59,8:19,,8:39,8:59,9:19,,9:39,9:59,10:19,,10:39,10:59,11:19,,11:39,11:59,12:19,,12:39,12:59,13:19,,13:39,13:59,14:19,,14:39,14:59,15:19,,15:39,15:59,16:19,,16:39,16:59,17:19,,17:39,17:59,18:19,,18:39,18:59,19:19,,19:39,19:59,20:19,,20:39,20:59,21:19,,21:39,21:59,22:29,,22:59,23:29,0:02,0:18
otreb,4:47,5:09,,5:31,6:01,6:21,6:41,,7:01,7:21,,7:41,8:01,8:21,,8:41,9:01,9:21,,9:41,10:01,10:21,,10:41,11:01,11:21,,11:41,12:01,12:21,,12:41,13:01,13:21,,13:41,14:01,14:21,,14:41,15:01,15:21,,15:41,16:01,16:21,,16:41,17:01,17:21,,17:41,18:01,18:21,,18:41,19:01,19:21,,19:41,20:01,20:21,,20:41,21:01,21:21,,21:41,22:01,22:31,,23:01,23:31,0:04,0:20
kanie,4:49,5:11,,5:33,6:03,6:23,6:43,,7:03,7:23,,7:43,8:03,8:23,,8:43,9:03,9:23,,9:43,10:03,10:23,,10:43,11:03,11:23,,11:43,12:03,12:23,,12:43,13:03,13:23,,13:43,14:03,14:23,,14:43,15:03,15:23,,15:43,16:03,16:23,,16:43,17:03,17:23,,17:43,18:03,18:23,,18:43,19:03,19:23,,19:43,20:03,20:23,,20:43,21:03,21:23,,21:43,22:03,22:33,,23:03,23:33,0:06,0:22
nwwar,4:51,5:13,,5:35,6:05,6:25,6:45,,7:05,7:25,,7:45,8:05,8:25,,8:45,9:05,9:25,,9:45,10:05,10:25,,10:45,11:05,11:25,,11:45,12:05,12:25,,12:45,13:05,13:25,,13:45,14:05,14:25,,14:45,15:05,15:25,,15:45,16:05,16:25,,16:45,17:05,17:25,,17:45,18:05,18:25,,18:45,19:05,19:25,,19:45,20:05,20:25,,20:45,21:05,21:25,,21:45,22:05,22:35,,23:05,23:35,0:08,0:24
komor,4:54,5:16,,5:38,6:08,6:28,6:48,,7:08,7:28,,7:48,8:08,8:28,,8:48,9:08,9:28,,9:48,10:08,10:28,,10:48,11:08,11:28,,11:48,12:08,12:28,,12:48,13:08,13:28,,13:48,14:08,14:28,,14:48,15:08,15:28,,15:48,16:08,16:28,,16:48,17:08,17:28,,17:48,18:08,18:28,,18:48,19:08,19:28,,19:48,20:08,20:28,,20:48,21:08,21:28,,21:48,22:08,22:38,,23:08,23:38,0:11,0:27
,4:55,5:17,,5:39,6:09,6:29,6:49,,7:09,7:29,,7:49,8:09,8:29,,8:49,9:09,9:29,,9:49,10:09,10:29,,10:49,11:09,11:29,,11:49,12:09,12:29,,12:49,13:09,13:29,,13:49,14:09,14:29,,14:49,15:09,15:29,,15:49,16:09,16:29,,16:49,17:09,17:29,,17:49,18:09,18:29,,18:49,19:09,19:29,,19:49,20:09,20:29,,20:49,21:09,21:29,,21:49,22:09,22:39,,23:09,23:39,0:12,0:28
prusz,4:57,5:19,,5:41,6:11,6:31,6:51,,7:11,7:31,,7:51,8:11,8:31,,8:51,9:11,9:31,,9:51,10:11,10:31,,10:51,11:11,11:31,,11:51,12:11,12:31,,12:51,13:11,13:31,,13:51,14:11,14:31,,14:51,15:11,15:31,,15:51,16:11,16:31,,16:51,17:11,17:31,,17:51,18:11,18:31,,18:51,19:11,19:31,,19:51,20:11,20:31,,20:51,21:11,21:31,,21:51,22:11,22:41,,23:11,23:41,0:14,0:30
twork,4:59,5:21,,5:43,6:13,6:33,6:53,,7:13,7:33,,7:53,8:13,8:33,,8:53,9:13,9:33,,9:53,10:13,10:33,,10:53,11:13,11:33,,11:53,12:13,12:33,,12:53,13:13,13:33,,13:53,14:13,14:33,,14:53,15:13,15:33,,15:53,16:13,16:33,,16:53,17:13,17:33,,17:53,18:13,18:33,,18:53,19:13,19:33,,19:53,20:13,20:33,,20:53,21:13,21:33,,21:53,22:13,22:43,,23:13,23:43,0:16,0:32
malic,5:01,5:23,,5:45,6:15,6:35,6:55,,7:15,7:35,,7:55,8:15,8:35,,8:55,9:15,9:35,,9:55,10:15,10:35,,10:55,11:15,11:35,,11:55,12:15,12:35,,12:55,13:15,13:35,,13:55,14:15,14:35,,14:55,15:15,15:35,,15:55,16:15,16:35,,16:55,17:15,17:35,,17:55,18:15,18:35,,18:55,19:15,19:35,,19:55,20:15,20:35,,20:55,21:15,21:35,,21:55,22:15,22:45,,23:15,23:45,0:18,0:34
regul,5:03,5:25,,5:47,6:17,6:37,6:57,,7:17,7:37,,7:57,8:17,8:37,,8:57,9:17,9:37,,9:57,10:17,10:37,,10:57,11:17,11:37,,11:57,12:17,12:37,,12:57,13:17,13:37,,13:57,14:17,14:37,,14:57,15:17,15:37,,15:57,16:17,16:37,,16:57,17:17,17:37,,17:57,18:17,18:37,,18:57,19:17,19:37,,19:57,20:17,20:37,,20:57,21:17,21:37,,21:57,22:17,22:47,,23:17,23:47,0:20,0:36
micha,5:05,5:27,,5:49,6:19,6:39,6:59,,7:19,7:39,,7:59,8:19,8:39,,8:59,9:19,9:39,,9:59,10:19,10:39,,10:59,11:19,11:39,,11:59,12:19,12:39,,12:59,13:19,13:39,,13:59,14:19,14:39,,14:59,15:19,15:39,,15:59,16:19,16:39,,16:59,17:19,17:39,,17:59,18:19,18:39,,18:59,19:19,19:39,,19:59,20:19,20:39,,20:59,21:19,21:39,,21:59,22:19,22:49,,23:19,23:49,0:22,0:38
opacz,5:08,5:30,,5:52,6:22,6:42,7:02,,7:22,7:42,,8:02,8:22,8:42,,9:02,9:22,9:42,,10:02,10:22,10:42,,11:02,11:22,11:42,,12:02,12:22,12:42,,13:02,13:22,13:42,,14:02,14:22,14:42,,15:02,15:22,15:42,,16:02,16:22,16:42,,17:02,17:22,17:42,,18:02,18:22,18:42,,19:02,19:22,19:42,,20:02,20:22,20:42,,21:02,21:22,21:42,,22:02,22:22,22:52,,23:22,23:52,0:25,0:41
wsalo,5:10,5:32,,5:54,6:24,6:44,7:04,,7:24,7:44,,8:04,8:24,8:44,,9:04,9:24,9:44,,10:04,10:24,10:44,,11:04,11:24,11:44,,12:04,12:24,12:44,,13:04,13:24,13:44,,14:04,14:24,14:44,,15:04,15:24,15:44,,16:04,16:24,16:44,,17:04,17:24,17:44,,18:04,18:24,18:44,,19:04,19:24,19:44,,20:04,20:24,20:44,,21:04,21:24,21:44,,22:04,22:24,22:54,,23:24,23:54,0:27,0:43
wrako,5:12,5:34,,5:56,6:26,6:46,7:06,,7:26,7:46,,8:06,8:26,8:46,,9:06,9:26,9:46,,10:06,10:26,10:46,,11:06,11:26,11:46,,12:06,12:26,12:46,,13:06,13:26,13:46,,14:06,14:26,14:46,,15:06,15:26,15:46,,16:06,16:26,16:46,,17:06,17:26,17:46,,18:06,18:26,18:46,,19:06,19:26,19:46,,20:06,20:26,20:46,,21:06,21:26,21:46,,22:06,22:26,22:56,,23:26,23:56,0:29,0:45
walje,5:15,5:37,,5:59,6:29,6:49,7:09,,7:29,7:49,,8:09,8:29,8:49,,9:09,9:29,9:49,,10:09,10:29,10:49,,11:09,11:29,11:49,,12:09,12:29,12:49,,13:09,13:29,13:49,,14:09,14:29,14:49,,15:09,15:29,15:49,,16:09,16:29,16:49,,17:09,17:29,17:49,,18:09,18:29,18:49,,19:09,19:29,19:49,,20:09,20:29,20:49,,21:09,21:29,21:49,,22:09,22:29,22:59,,23:29,23:59,0:32,0:48
wreor,5:17,5:39,,6:01,6:31,6:51,7:11,,7:31,7:51,,8:11,8:31,8:51,,9:11,9:31,9:51,,10:11,10:31,10:51,,11:11,11:31,11:51,,12:11,12:31,12:51,,13:11,13:31,13:51,,14:11,14:31,14:51,,15:11,15:31,15:51,,16:11,16:31,16:51,,17:11,17:31,17:51,,18:11,18:31,18:51,,19:11,19:31,19:51,,20:11,20:31,20:51,,21:11,21:31,21:51,,22:11,22:31,23:01,,23:31,0:01,0:34,0:50
wzach,5:19,5:41,,6:03,6:33,6:53,7:13,,7:33,7:53,,8:13,8:33,8:53,,9:13,9:33,9:53,,10:13,10:33,10:53,,11:13,11:33,11:53,,12:13,12:33,12:53,,13:13,13:33,13:53,,14:13,14:33,14:53,,15:13,15:33,15:53,,16:13,16:33,16:53,,17:13,17:33,17:53,,18:13,18:33,18:53,,19:13,19:33,19:53,,20:13,20:33,20:53,,21:13,21:33,21:53,,22:13,22:33,23:03,,23:33,0:03,0:36,0:52
wocho,5:22,5:44,,6:06,6:36,6:56,7:16,,7:36,7:56,,8:16,8:36,8:56,,9:16,9:36,9:56,,10:16,10:36,10:56,,11:16,11:36,11:56,,12:16,12:36,12:56,,13:16,13:36,13:56,,14:16,14:36,14:56,,15:16,15:36,15:56,,16:16,16:36,16:56,,17:16,17:36,17:56,,18:16,18:36,18:56,,19:16,19:36,19:56,,20:16,20:36,20:56,,21:16,21:36,21:56,,22:16,22:36,23:06,,23:36,0:06,0:39,0:55
wsrod,5:24,5:46,,6:08,6:38,6:58,7:18,,7:38,7:58,,8:18,8:38,8:58,,9:18,9:38,9:58,,10:18,10:38,10:58,,11:18,11:38,11:58,,12:18,12:38,12:58,,13:18,13:38,13:58,,14:18,14:38,14:58,,15:18,15:38,15:58,,16:18,16:38,16:58,,17:18,17:38,17:58,,18:18,18:38,18:58,,19:18,19:38,19:58,,20:18,20:38,20:58,,21:18,21:38,21:58,,22:18,22:38,23:08,,23:38,0:08,0:41,0:57
