,104,106,5350,108,110,304,306,5352,116,312,5354,318,120,322,5356,328,124,334,5358,340,128,348,5360,352,130,360,5362,364,132,372,5364,376,134,384,5366,388,136,396,5368,3002,138,3010,5370,3016,140,3024,5372,3030,142,3036,5374,3042,144,3048,5376,3054,146,3060,5378,3066,148,3070,5380,3074,150,3080,5382,3082,154,3090,5384,158,3094,3098,160
,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gmrad,4:22,4:44,,5:06,5:36,,,,6:36,,,,7:36,,,,8:36,,,,9:36,,,,10:36,,,,11:36,,,,12:36,,,,13:36,,,,14:36,,,,15:36,,,,16:36,,,,17:36,,,,18:36,,,,19:36,,,,20:36,,,,21:36,,,22:36,,,23:55
gmjor,4:25,4:47,,5:09,5:39,,,,6:39,,,,7:39,,,,8:39,,,,9:39,,,,10:39,,,,11:39,,,,12:39,,,,13:39,,,,14:39,,,,15:39,,,,16:39,,,,17:39,,,,18:39,,,,19:39,,,,20:39,,,,21:39,,,22:39,,,23:58
gmpia,4:27,4:49,,5:11,5:41,,,,6:41,,,,7:41,,,,8:41,,,,9:41,,,,10:41,,,,11:41,,,,12:41,,,,13:41,,,,14:41,,,,15:41,,,,16:41,,,,17:41,,,,18:41,,,,19:41,,,,20:41,,,,21:41,,,22:41,,,0:00
gmokr,4:29,4:51,,5:13,5:43,,,,6:43,,,,7:43,,,,8:43,,,,9:43,,,,10:43,,,,11:43,,,,12:43,,,,13:43,,,,14:43,,,,15:43,,,,16:43,,,,17:43,,,,18:43,,,,19:43,,,,20:43,,,,21:43,,,22:43,,,0:02
brzoz,4:31,4:53,,5:15,5:45,,,,6:45,,,,7:45,,,,8:45,,,,9:45,,,,10:45,,,,11:45,,,,12:45,,,,13:45,,,,14:45,,,,15:45,,,,16:45,,,,17:45,,,,18:45,,,,19:45,,,,20:45,,,,21:45,,,22:45,,,0:04
kazim,4:34,4:56,,5:18,5:48,,,,6:48,,,,7:48,,,,8:48,,,,9:48,,,,10:48,,,,11:48,,,,12:48,,,,13:48,,,,14:48,,,,15:48,,,,16:48,,,,17:48,,,,18:48,,,,19:48,,,,20:48,,,,21:48,,,22:48,,,0:07
milgr,,,5:12,,,,,6:17,,,7:02,,,,8:02,,,,9:02,,,,10:02,,,,11:02,,,,12:02,,,,13:02,,,,14:02,,,,15:02,,,,16:02,,,,17:02,,,,18:02,,,,19:02,,,,20:02,,,,21:02,,,,22:12,,,,
poles,,,5:14,,,,,6:19,,,7:04,,,,8:04,,,,9:04,,,,10:04,,,,11:04,,,,12:04,,,,13:04,,,,14:04,,,,15:04,,,,16:04,,,,17:04,,,,18:04,,,,19:04,,,,20:04,,,,21:04,,,,22:14,,,,
