,1050,1052,3350,4000,1150,2050,1054,4002,5152,4004,5004,1152,2052,1056,4006,5154,4008,5008,1154,2054,1058,4010,5156,4012,5012,1156,2056,1060,4014,5158,4016,5016,1158,2058,1062,4018,5160,4020,5020,1160,2060,1064,4022,5162,4024,5024,1162,2062,1066,4026,5164,4028,5028,1164,2064,1068,4030,5166,4032,5032,1166,2066,1070,4034,5168,4036,5036,1168,2068,1072,4038,5170,4040,5040,1170,2070,1074,4042,5172,4044,5044,1172,2072,1076,4046,5174,4048,5048,1174,2074,1078,4050,5176,4052,5052,1176,2076,1080,4054,5178,4056,5556,1178,2350
,A1,A1,A1,A1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A1,A1,A1,ZA1,A1,ZA1,A1,A12
,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
gmrad,3:35,4:00,4:20,4:40,,,5:20,5:40,,6:00,,,,6:40,7:00,,7:20,,,,8:00,8:20,,8:40,,,,9:20,9:40,,10:00,,,,10:40,11:00,,11:20,,,,12:00,12:20,,12:40,,,,13:20,13:40,,14:00,,,,14:40,15:00,,15:20,,,,16:00,16:20,,16:40,,,,17:20,17:40,,18:00,,,,18:40,19:00,,19:20,,,,20:00,20:20,,20:40,,,,21:20,21:40,,22:00,,,,22:40,23:00,,23:20,,,
gmjor,3:37,4:02,4:22,4:42,,,5:22,5:42,,6:02,,,,6:42,7:02,,7:22,,,,8:02,8:22,,8:42,,,,9:22,9:42,,10:02,,,,10:42,11:02,,11:22,,,,12:02,12:22,,12:42,,,,13:22,13:42,,14:02,,,,14:42,15:02,,15:22,,,,16:02,16:22,,16:42,,,,17:22,17:42,,18:02,,,,18:42,19:02,,19:22,,,,20:02,20:22,,20:42,,,,21:22,21:42,,22:02,,,,22:42,23:02,,23:22,,,
gmpia,3:39,4:04,4:24,4:44,,,5:24,5:44,,6:04,,,,6:44,7:04,,7:24,,,,8:04,8:24,,8:44,,,,9:24,9:44,,10:04,,,,10:44,11:04,,11:24,,,,12:04,12:24,,12:44,,,,13:24,13:44,,14:04,,,,14:44,15:04,,15:24,,,,16:04,16:24,,16:44,,,,17:24,17:44,,18:04,,,,18:44,19:04,,19:24,,,,20:04,20:24,,20:44,,,,21:24,21:44,,22:04,,,,22:44,23:04,,23:24,,,
gmokr,3:40,4:05,4:25,4:45,,,5:25,5:45,,6:05,,,,6:45,7:05,,7:25,,,,8:05,8:25,,8:45,,,,9:25,9:45,,10:05,,,,10:45,11:05,,11:25,,,,12:05,12:25,,12:45,,,,13:25,13:45,,14:05,,,,14:45,15:05,,15:25,,,,16:05,16:25,,16:45,,,,17:25,17:45,,18:05,,,,18:45,19:05,,19:25,,,,20:05,20:25,,20:45,,,,21:25,21:45,,22:05,,,,22:45,23:05,,23:25,,,
brzoz,3:42,4:07,4:27,4:47,,,5:27,5:47,,6:07,,,,6:47,7:07,,7:27,,,,8:07,8:27,,8:47,,,,9:27,9:47,,10:07,,,,10:47,11:07,,11:27,,,,12:07,12:27,,12:47,,,,13:27,13:47,,14:07,,,,14:47,15:07,,15:27,,,,16:07,16:27,,16:47,,,,17:27,17:47,,18:07,,,,18:47,19:07,,19:27,,,,20:07,20:27,,20:47,,,,21:27,21:47,,22:07,,,,22:47,23:07,,23:27,,,
kazim,3:44,4:09,4:29,4:49,,,5:29,5:49,,6:09,,,,6:49,7:09,,7:29,,,,8:09,8:29,,8:49,,,,9:29,9:49,,10:09,,,,10:49,11:09,,11:29,,,,12:09,12:29,,12:49,,,,13:29,13:49,,14:09,,,,14:49,15:09,,15:29,,,,16:09,16:29,,16:49,,,,17:29,17:49,,18:09,,,,18:49,19:09,,19:29,,,,20:09,20:29,,20:49,,,,21:29,21:49,,22:09,,,,22:49,23:09,,23:29,,,
milgr,,,,,,5:06,,,,,,,6:26,,,,,,,7:46,,,,,,,9:06,,,,,,,10:26,,,,,,,11:46,,,,,,,13:06,,,,,,,14:26,,,,,,,15:46,,,,,,,17:06,,,,,,,18:26,,,,,,,19:46,,,,,,,21:06,,,,,,,22:26,,,,,,,23:55
poles,,,,,,5:09,,,,,,,6:29,,,,,,,7:49,,,,,,,9:09,,,,,,,10:29,,,,,,,11:49,,,,,,,13:09,,,,,,,14:29,,,,,,,15:49,,,,,,,17:09,,,,,,,18:29,,,,,,,19:49,,,,,,,21:09,,,,,,,22:29,,,,,,,23:58
